actors,creator,description,duration,episodes,genre,public,score,seasons,title,year
"Alfred Hitchcock,Harry Tyler,John Williams",Alfred Hitchcock,"Series of unrelated short stories covering elements of crime, horror, drama, and comedy about people of different backgrounds committing murders, suicides, thefts, and other sorts of crime c...",25.0,268,Drama,TV-14,8.5,7,Alfred Hitchcock Presents,1955
"Neil deGrasse Tyson,Christopher Emerson,Keythe Farley",Neil deGrasse Tyson,An exploration of our discovery of the laws of nature and coordinates in space and time.,557.0,13,Documentary,TV-PG,9.3,1,Cosmos: A Spacetime Odyssey,2014
"Teodora Markova,Georgi Ivanov,Ivaylo Zahariev",Teodora Markova,Trained young policeman goes undercover in the gang of the most dangerous mafia boss in Bulgaria.,0.0,60,Action,,8.9,5,Undercover,2011
"David Chase,James Gandolfini,Lorraine Bracco",David Chase,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseli...",55.0,86,Crime,TV-MA,9.2,6,The Sopranos,1999
"Anthony Horowitz,Michael Kitchen,Honeysuckle Weeks",Anthony Horowitz,"As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the after...",90.0,28,Crime,TV-14,8.6,8,Foyle's War,2002
"Tomokazu Sugita,Daisuke Sakaguchi,Rie Kugimiya",Tomokazu Sugita,"In an era where aliens have invaded and taken over feudal Tokyo, an unemployed samurai finds work however he can.",25.0,375,Animation,TV-14,8.7,8,Gintama,2005
"Massimo Bottura,Ruth Reichl,Francis Mallmann",Massimo Bottura,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents a...",50.0,30,Documentary,TV-MA,8.5,6,Chef's Table,2015
"Gülse Birsel,Levent Üzümcü,Senay Gürler",Gülse Birsel,The life and times of the rather traditional Sutcuoglu family and their comedic struggles to adapt the high-profile contemporary life of Nisantasi.,0.0,190,Comedy,,8.6,6,Avrupa Yakasi,2004
"Zerocalcare,Zerocalcare,Valerio Mastandrea",Zerocalcare,A cartoonist in Rome with his armadillo-for-a-conscience reflects on his path in life and a would-be love as he and his friends travel outside the city.,20.0,6,Animation,TV-14,8.6,1,Tear Along the Dotted Line,2021
"Lee Jae-wook,Hwang Min-hyun,Yoo Joon-sang",Lee Jae-wook,"Set in a fictional country called Daeho, it is about the love and growth of young mages as they overcome their twisted fates due to a forbidden magic spell known as the ""alchemy of souls"", w...",80.0,30,Action,TV-14,8.8,2,Alchemy of Souls,2022
"Dan Harmon,Joel McHale,Danny Pudi",Dan Harmon,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,22.0,110,Comedy,TV-14,8.5,6,Community,2009
"Reg Watson,Lara Radulovich,Kate Atkinson",Reg Watson,The confronting look into the lives of the inmates and prison staff of Wentworth Correctional Centre as they navigate the ups and downs of their lives in the prison system.,45.0,100,Crime,TV-MA,8.6,9,Wentworth,2013
"Lisa Joy,Jonathan Nolan,Evan Rachel Wood",Lisa Joy,"At the intersection of the near future and the reimagined past, waits a world in which every human appetite can be indulged without consequence.",62.0,36,Drama,TV-MA,8.5,4,Westworld,2016
"Saverio Costanzo,Alba Rohrwacher,Margherita Mazzucco",Saverio Costanzo,A woman recounts the lifelong friendship and conflicts with a girl she met at primary school in Naples during the early 1950s.,60.0,25,Drama,TV-MA,8.6,4,My Brilliant Friend,2018
"Nathan Fielder,Nathan Fielder,Journey Baker",Nathan Fielder,Nathan Fielder gives people a chance to rehearse for their own lives in a world where nothing ever works out as expected.,30.0,7,Documentary,TV-MA,8.5,2,The Rehearsal,2022
"Bryan Fuller,Hugh Dancy,Mads Mikkelsen",Bryan Fuller,Explores the early relationship between renowned psychiatrist Hannibal Lecter and a young FBI criminal profiler who is haunted by his ability to empathize with serial killers.,0.0,39,Crime,TV-MA,8.5,3,Hannibal,2013
"Mayo Suzukaze,Junko Iwao,Nozomu Sasaki",Mayo Suzukaze,"In the era of Japan's Meiji Restoration, an assassin regains his humanity.",118.0,4,Animation,TV-MA,8.6,1,Rurouni Kenshin: Trust and Betrayal,1999
"Lisa McGee,Saoirse-Monica Jackson,Louisa Harland",Lisa McGee,The personal exploits of a 16-year-old girl and her family and friends during the Troubles in the early 1990s in Northern Ireland.,30.0,19,Comedy,TV-MA,8.5,3,Derry Girls,2018
"Daniel Abraham,Mark Fergus,Ty Franck",Daniel Abraham,"The disappearance of rich-girl-turned-political-activist links the lives of Ceres detective, accidental ship captain and U.N. politician. Amidst political tension between Earth, Mars and the...",60.0,62,Drama,TV-14,8.5,6,The Expanse,2015
"Tom Hanks,Nick Searcy,Lane Smith",Tom Hanks,Dramatized portrayal of the Apollo manned space program.,60.0,12,Action,TV-14,8.6,1,From the Earth to the Moon,1998
"Park Eun-bin,Kang Tae-oh,Kang Ki-young",Park Eun-bin,"Due to her 164 I.Q., impressive memory and creative thought process, autistic 27-year-old lawyer Woo Young Woo graduated at the top of her class from a prestigious law school.",75.0,16,Drama,TV-14,8.6,1,Extraordinary Attorney Woo,2022
"Vic Mignogna,Aaron Dismuke,Romi Park",Vic Mignogna,"When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them: the fabled philosopher's st...",24.0,51,Animation,TV-PG,8.5,2006,Fullmetal Alchemist,2003
