actors,budget,country,creator,description,duration,genre,public,score,title,year
"Jean Reno, Gary Oldman, Natalie Portman",115000000,France,Luc Besson,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin...",110,Action,R,8.5,Léon: The Professional,1994
"Leonardo DiCaprio, Matt Damon, Jack Nicholson",90000000,United States,Martin Scorsese,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,151,Crime,R,8.5,The Departed,2006
"Irene Mecchi, Jonathan Roberts, Linda Woolverton",45000000,United States,Roger Allers,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",88,Animation,G,8.5,The Lion King,1994
"David Franzoni, John Logan, William Nicholson",103000000,United States,Ridley Scott,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,155,Action,R,8.5,Gladiator,2000
"Anthony Perkins, Janet Leigh, Vera Miles",806947,United States,Alfred Hitchcock,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.",109,Horror,R,8.5,Psycho,1960
"Shameik Moore, Hailee Steinfeld, Brian Tyree Henry",150000000,United States,Joaquim Dos Santos,"Miles Morales catapults across the multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Mi...",140,Animation,PG,8.6,Spider-Man: Across the Spider-Verse,2023
"Hayao Miyazaki, Daveigh Chase, Suzanne Pleshette",19000000,Japan,Hayao Miyazaki,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts.",125,Animation,PG,8.6,Spirited Away,2001
"Bong Joon Ho, Han Jin-won, Song Kang-ho",11400000,South Korea,Bong Joon Ho,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,132,Drama,R,8.5,Parasite,2019
"Edward Norton, Edward Furlong, Beverly D'Angelo",20000000,United States,Tony Kaye,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who id...",119,Crime,R,8.5,American History X,1998
"Adrien Brody, Thomas Kretschmann, Frank Finlay",35000000,France,Roman Polanski,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.",150,Biography,R,8.5,The Pianist,2002
"Michael J. Fox, Christopher Lloyd, Lea Thompson",19000000,United States,Robert Zemeckis,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",116,Adventure,PG,8.5,Back to the Future,1985
"Mark Hamill, Harrison Ford, Carrie Fisher",11000000,United States,George Lucas,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue ...",121,Action,PG,8.6,Star Wars: Episode IV - A New Hope,1977
"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong",102000000,United States,James Cameron,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.",137,Action,R,8.6,Terminator 2: Judgment Day,1991
"Vincenzo Cerami, Roberto Benigni, Roberto Benigni",20000000,Italy,Roberto Benigni,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.",116,Comedy,PG-13,8.6,Life Is Beautiful,1997
"Tom Hanks, Matt Damon, Tom Sizemore",70000000,United States,Steven Spielberg,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",169,Drama,R,8.6,Saving Private Ryan,1998
"Tom Hanks, Michael Clarke Duncan, David Morse",60000000,United States,Frank Darabont,"A tale set on death row, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the lead guard, Paul Edgecombe, recognizes John's gift, he tries to hel...",189,Crime,R,8.6,The Green Mile,1999
"Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele",3300000,Brazil,Fernando Meirelles,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",130,Crime,R,8.6,City of God,2002
"Toshirô Mifune, Takashi Shimura, Keiko Tsushima",125000000,Japan,Akira Kurosawa,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him.",207,Action,Not Rated,8.6,Seven Samurai,1954
"J.R.R. Tolkien, Fran Walsh, Philippa Boyens",94000000,New Zealand,Peter Jackson,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,201,Action,PG-13,9.0,The Lord of the Rings: The Return of the King,2003
"Jodie Foster, Anthony Hopkins, Scott Glenn",19000000,United States,Jonathan Demme,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",118,Crime,R,8.6,The Silence of the Lambs,1991
"Francis Ford Coppola, Mario Puzo, Al Pacino",13000000,United States,Francis Ford Coppola,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",202,Crime,R,9.0,The Godfather Part II,1974
"Reginald Rose, Henry Fonda, Lee J. Cobb",350000,United States,Sidney Lumet,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,96,Crime,Approved,9.0,12 Angry Men,1957
"Jonathan Nolan, Christopher Nolan, David S. Goyer",185000000,United States,Christopher Nolan,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",152,Action,PG-13,9.0,The Dark Knight,2008
"Liam Neeson, Ralph Fiennes, Ben Kingsley",22000000,United States,Steven Spielberg,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",195,Biography,R,9.0,Schindler's List,1993
"Mario Puzo, Francis Ford Coppola, Marlon Brando",6000000,United States,Francis Ford Coppola,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,175,Crime,R,9.2,The Godfather,1972
"Matthew McConaughey, Anne Hathaway, Jessica Chastain",165000000,United States,Christopher Nolan,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",169,Adventure,PG-13,8.7,Interstellar,2014
