actors,budget,country,creator,description,duration,genre,public,score,title,year
"Don Cheadle, Sophie Okonedo, Joaquin Phoenix",17500000,United Kingdom,Terry George,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",121,Biography,PG-13,8.1,Hotel Rwanda,2004
"Mark Ruffalo, Michael Keaton, Rachel McAdams",20000000,United States,Tom McCarthy,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",129,Biography,R,8.1,Spotlight,2015
"James Mangold, Scott Frank, Michael Green",97000000,United States,James Mangold,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to s...",137,Action,R,8.1,Logan,2017
"Sylvester Stallone, Talia Shire, Burt Young",960000,United States,John G. Avildsen,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,120,Drama,PG,8.1,Rocky,1976
"Jeff Bridges, John Goodman, Julianne Moore",15000000,United States,Joel Coen,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",117,Comedy,R,8.1,The Big Lebowski,1998
"Emma Donoghue, Brie Larson, Jacob Tremblay",13000000,Ireland,Lenny Abrahamson,"A little boy is held captive in a room with his mother since his birth, so he has never known the world outside.",118,Drama,R,8.1,Room,2015
"Ingmar Bergman, Max von Sydow, Gunnar Björnstrand",150000,Sweden,Ingmar Bergman,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",96,Drama,Not Rated,8.1,The Seventh Seal,1957
"Chishû Ryû, Chieko Higashiyama, Sô Yamamura",88647,Japan,Yasujirô Ozu,"An old couple visit their children and grandchildren in the city, but receive little attention.",136,Drama,Not Rated,8.1,Tokyo Story,1953
"Brad Bird, Jan Pinkava, Jim Capobianco",150000000,United States,Brad Bird,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,111,Animation,G,8.1,Ratatouille,2007
"James Stewart, Jean Arthur, Claude Rains",1900000,United States,Frank Capra,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries...",129,Comedy,Passed,8.1,Mr. Smith Goes to Washington,1939
"Matt Damon, Christian Bale, Jon Bernthal",97600000,United States,James Mangold,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 2...,152,Action,PG-13,8.1,Ford v Ferrari,2019
"William Davies, Dean DeBlois, Chris Sanders",165000000,United States,Dean DeBlois,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",98,Animation,PG,8.1,How to Train Your Dragon,2010
"Toni Collette, Philip Seymour Hoffman, Eric Bana",8240000,Australia,Adam Elliot,"In 1976 Melbourne, a lonely 8-year-old girl strikes up a correspondence with an unlikely pen pal: a severely obese 44-year-old New Yorker with Asperger's syndrome.",92,Animation,Not Rated,8.1,Mary and Max,2009
"Peter Benchley, Carl Gottlieb, Roy Scheider",7000000,United States,Steven Spielberg,"When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",124,Adventure,PG,8.1,Jaws,1975
"Victor Sjöström, Bibi Andersson, Ingrid Thulin",60418,Sweden,Ingmar Bergman,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",91,Drama,Not Rated,8.1,Wild Strawberries,1957
"Yves Montand, Charles Vanel, Peter van Eyck",1098,France,Henri-Georges Clouzot,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",131,Adventure,Not Rated,8.2,The Wages of Fear,1953
"Graham Greene, Orson Welles, Alexander Korda",1067364,United Kingdom,Carol Reed,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",93,Film-Noir,Approved,8.1,The Third Man,1949
"Pete Docter, Jill Culton, Jeff Pidgeon",115000000,United States,Pete Docter,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things ...",92,Animation,G,8.1,"Monsters, Inc.",2001
